defect_id,timestamp,billet_id,furnace_no,plan_no,camera_id,face_id,defect_type,confidence,bbox,image_path,length_pos,width_pos,severity,review_status,frame_no,billet_speed_mps,image_width,image_height,length_region,width_region
D0012,2026-06-14T09:13:55,B20260614004,F25061402,P-A36-002,CAM02,right,结疤,0.89,"{""x"":1050,""y"":260,""w"":140,""h"":110}",data/images/B20260614004_CAM02_0108.jpg,0.79,0.55,major,pending,108,1.15,2048,1024,middle,center
D0013,2026-06-14T09:18:16,B20260614005,F25061403,P-B40-006,CAM01,top,压痕,0.82,"{""x"":800,""y"":520,""w"":140,""h"":88}",data/images/B20260614005_CAM01_0036.jpg,0.27,0.42,minor,confirmed,36,1.25,2048,1024,middle,center
D0014,2026-06-14T09:21:48,B20260614005,F25061403,P-B40-006,CAM03,bottom,氧化皮,0.78,"{""x"":520,""y"":330,""w"":260,""h"":130}",data/images/B20260614005_CAM03_0070.jpg,0.53,0.32,minor,confirmed,70,1.25,2048,1024,middle,center
D0015,2026-06-14T09:25:01,B20260614005,F25061403,P-B40-006,CAM03,bottom,氧化皮,0.73,"{""x"":620,""y"":360,""w"":220,""h"":115}",data/images/B20260614005_CAM03_0091.jpg,0.69,0.36,minor,false_positive,91,1.25,2048,1024,middle,center
D0016,2026-06-14T09:29:40,B20260614006,F25061403,P-B40-006,CAM04,left,凹坑,0.87,"{""x"":170,""y"":480,""w"":96,""h"":91}",data/images/B20260614006_CAM04_0029.jpg,0.18,0.11,major,confirmed,29,1.25,2048,1024,head,edge
D0017,2026-06-14T09:32:18,B20260614006,F25061403,P-B40-006,CAM04,left,裂纹,0.92,"{""x"":1820,""y"":280,""w"":160,""h"":42}",data/images/B20260614006_CAM04_0057.jpg,0.42,0.93,critical,confirmed,57,1.25,2048,1024,middle,edge
D0018,2026-06-14T09:36:59,B20260614006,F25061403,P-B40-006,CAM01,top,夹渣,0.85,"{""x"":1180,""y"":410,""w"":118,""h"":106}",data/images/B20260614006_CAM01_0092.jpg,0.74,0.61,major,pending,92,1.25,2048,1024,middle,center
D0019,2026-06-14T09:39:47,B20260614007,F25061403,P-B40-006,CAM02,right,裂纹,0.96,"{""x"":145,""y"":260,""w"":230,""h"":49}",data/images/B20260614007_CAM02_0021.jpg,0.11,0.13,critical,confirmed,21,1.25,2048,1024,head,edge
D0020,2026-06-14T09:42:22,B20260614007,F25061403,P-B40-006,CAM02,right,裂纹,0.94,"{""x"":188,""y"":300,""w"":190,""h"":43}",data/images/B20260614007_CAM02_0045.jpg,0.29,0.14,critical,confirmed,45,1.25,2048,1024,middle,edge
D0021,2026-06-14T09:46:36,B20260614007,F25061403,P-B40-006,CAM04,left,划伤,0.80,"{""x"":1650,""y"":430,""w"":260,""h"":31}",data/images/B20260614007_CAM04_0081.jpg,0.66,0.87,minor,confirmed,81,1.25,2048,1024,middle,edge
D0022,2026-06-14T09:50:08,B20260614008,F25061404,P-C45-011,CAM03,bottom,结疤,0.90,"{""x"":1010,""y"":240,""w"":150,""h"":118}",data/images/B20260614008_CAM03_0024.jpg,0.14,0.53,major,confirmed,24,1.18,2048,1024,head,center
D0023,2026-06-14T09:52:41,B20260614008,F25061404,P-C45-011,CAM03,bottom,凹坑,0.84,"{""x"":430,""y"":510,""w"":92,""h"":86}",data/images/B20260614008_CAM03_0052.jpg,0.33,0.23,major,pending,52,1.18,2048,1024,middle,center
D0024,2026-06-14T09:55:17,B20260614008,F25061404,P-C45-011,CAM01,top,麻点,0.77,"{""x"":790,""y"":480,""w"":100,""h"":92}",data/images/B20260614008_CAM01_0084.jpg,0.62,0.41,minor,confirmed,84,1.18,2048,1024,middle,center
D0025,2026-06-14T09:57:02,B20260614009,F25061404,P-C45-011,CAM01,top,裂纹,0.91,"{""x"":1780,""y"":270,""w"":180,""h"":45}",data/images/B20260614009_CAM01_0016.jpg,0.07,0.91,critical,confirmed,16,1.18,2048,1024,head,edge
D0026,2026-06-14T09:58:38,B20260614009,F25061404,P-C45-011,CAM02,right,夹渣,0.83,"{""x"":1120,""y"":340,""w"":130,""h"":104}",data/images/B20260614009_CAM02_0039.jpg,0.25,0.58,major,confirmed,39,1.18,2048,1024,middle,center
D0027,2026-06-14T10:00:44,B20260614009,F25061404,P-C45-011,CAM02,right,裂纹,0.95,"{""x"":230,""y"":295,""w"":210,""h"":48}",data/images/B20260614009_CAM02_0066.jpg,0.47,0.16,critical,confirmed,66,1.18,2048,1024,middle,edge
D0028,2026-06-14T10:02:19,B20260614009,F25061404,P-C45-011,CAM04,left,划伤,0.82,"{""x"":1710,""y"":405,""w"":250,""h"":33}",data/images/B20260614009_CAM04_0089.jpg,0.64,0.90,minor,pending,89,1.18,2048,1024,middle,edge

